rank,event,drug_a,drug_b,a_name,b_name,prob_mean,prob_mean_raw,u_mean,r,semantic_overlap,evidence_auto,evidence_pmids,evidence_note
1,The risk or severity of QTc prolongation decrease,DB00358,DB09013,(+)-Mefloquine,Befunolol,0.5792524925607125,0.606201014,0.787587726,0.1287645358848458,yes,none,,未检索到支持该事件方向的 direct/类别级机制证据
1,the thrombogenic activities increase,DB04552,DB01357,Niflumic acid,Mestranol,0.3092064035251062,0.252799496,0.505439962,0.1250245283481408,yes,none,,未检索到支持该事件方向的 direct/类别级机制证据
1,The risk or severity of neutropenia and thrombocytopenia increase,DB00436,DB05015,Bendroflumethiazide,Belinostat,0.311421623178461,0.259868116,0.5197361519999999,0.1248052613626703,no,none,,未检索到支持该事件方向的 direct/类别级机制证据
1,The risk or severity of sedation and somnolence increase,DB01142,DB12161,Cidoxepin,Deutetrabenazine,0.3370816440972392,0.28496679399999997,0.5699334979999999,0.1225546722817346,no,none,,未检索到支持该事件方向的 direct/类别级机制证据
1,The risk or severity of Tachycardia and drowsiness increase,DB09089,DB00486,Trimebutine,Nabilone,0.35567334375860954,0.310572804,0.621145106,0.1176620267387027,no,class_suggested,"42485476, 42163693",Nabilone 为合成大麻素受体激动剂，嗜睡为已知不良反应（文献42485476/42163693，标题“Nabilone for Behavioural and Psychological Symptoms of Dementia: Drugs”）。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,the vasopressor activities increase,DB01253,DB09289,Ergometrine,Tianeptine,0.5710476742741049,0.595202838,0.809593774,0.1133303260880693,yes,none,,未检索到支持该事件方向的 direct/类别级机制证据
1,The risk or severity of neutropenia increase,DB00321,DB00762,Amitriptyline,Irinotecan,0.37513290472538363,0.33390477599999996,0.667806572,0.1109209721650121,no,class_suggested,"42081171, 42276133",Irinotecan 为化疗药，中性粒细胞减少为常见剂量限制性毒性（文献42081171/42276133，标题“Pooled safety analysis of lurbinectedin plus irinotecan in patients with advanced solid tumors.”）。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,an increase in the absorption resulting in an increased serum concentration and potentially a worsening of adverse effects cause,DB00940,DB06817,Methantheline,Raltegravir,0.3817696478036002,0.343834838,0.687668704,0.10739038056249,yes,class_suggested,22527350,Methantheline 为强效抗毒蕈碱药（抗胆碱作用较阿托品更强更持久）（文献22527350，标题“Relative bioavailability and pharmacodynamic effects of methantheline compared with atropine in healthy subjects.”）。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,The risk or severity of fluid retention increase,DB04630,DB01406,Aldosterone,Danazol,0.38425316536174003,0.346549532,0.693088288,0.1063601101589187,no,class_suggested,"41809452, 42609626",Aldosterone 为盐皮质激素，促钠水潴留（文献41809452/42609626，标题“Vasopressin and fluid retention after liver resection: Comparison with the renin-angiotensin-aldosterone system by surgi”）。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,the hypokalemic activities increase,DB04630,DB00808,Aldosterone,(S)-Indapamide,0.39573144690620593,0.36079387,0.721488058,0.1004854013953955,yes,class_suggested,"42367449, 42358241, 41222871","Aldosterone 促钾排泄→低钾血症（文献42367449/42358241，标题“Pseudo-Hyperaldosteronism After the Ingestion of Licorice Tea: A Case Report.”）；噻嗪样利尿剂（Indapamide）低钾血症为已知不良反应（文献41222871，标题“Low-Dose Triple-Pill of Telmisartan, Amlodipine, and Indapamide for Initial Hypertension Treatment: A GRADE-Assessed Met”）。盐皮质激素（Aldosterone）与噻嗪样利尿剂（Indapamide）均促钾丢失，叠加增加低钾血症风险。（类别级推断：所引为单药机制文献，非两药合用直接证据。）"
1,The risk or severity of renal failure and hypertension increase,DB09214,DB00091,Dexketoprofen,Cyclosporine,0.3950618995017929,0.361469776,0.7229392539999999,0.1001490857950129,yes,none,,未检索到支持该事件方向的 direct/类别级机制证据
1,The risk or severity of hyponatremia increase,DB04832,DB00035,Zimelidine,Desmopressin,0.5560508167813449,0.574755204,0.850259578,0.0860640867936561,yes,class_suggested,42351030,Desmopressin 为加压素类似物，水潴留→低钠血症（文献42351030，标题“Proactive desmopressin for the prevention of serum sodium overcorrection in moderate-to-severe hyponatremia: a systemati”）。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,The risk or severity of hypotension and CNS depression increase,DB00679,DB00704,Thioridazine,Naltrexone,0.42870656316307654,0.40427601199999996,0.808551742,0.077397938248587,yes,none,,未检索到支持该事件方向的 direct/类别级机制证据
1,The risk or severity of electrolyte imbalance increase,DB14512,DB00436,Mometasone furoate,Bendroflumethiazide,0.4333841483771117,0.410778976,0.8215576880000001,0.0733003501984324,no,class_suggested,38425181,"噻嗪类利尿剂（Bendroflumethiazide）低钾/电解质紊乱为已知（文献38425181，标题“Genetic Determinants of Thiazide-Induced Hyperuricemia, Hyperglycemia, and Urinary Electrolyte Disturbances - A Genome-W”）。（类别级推断：所引为单药机制文献，非两药合用直接证据。）"
1,The risk or severity of hyperthermia and oligohydrosis increase,DB11855,DB00273,Revefenacin,Topiramate,0.4644637561736114,0.451849098,0.903695918,0.043514912585418,no,class_suggested,36829251,Topiramate（碳酸酐酶抑制）报告少汗/高温（文献36829251，标题“Pharmacovigilance-based drug repurposing: searching for putative drugs with hypohidrosis or anhidrosis adverse events fo”）。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
